StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,condition,openQ,valence,metaphor,likert,covertness,attention,association,paraphrase,previousParticipatio,politicalView,politicalView_4_TEXT,gender,gender_3_TEXT,immigration,immigrationStatus_1,immigrationStatus_8,immigrationStatus_2,immigrationStatus_6,immigrationStatus_3,immigrationStatus_4,immigrationStatus_5,immigrationStatus_5_TEXT,language#1_1_1,language#1_1_2,language#1_1_3,language#1_2_1,language#1_2_2,language#1_2_3,language#1_3_1,language#1_3_2,language#1_3_3,language#1_4_1,language#1_4_2,language#1_4_3,language#1_5_1,language#1_5_2,language#1_5_3,Q36,random
11/21/20 15:25,11/21/20 15:28,IP Address,174.244.241.230,100,156,TRUE,11/21/20 15:28,R_u4vXBZWJx0MujXb,,,,,38.80290222,-77.21160126,anonymous,EN,I agree to participate,flood,all of the low skill manual labor jobs have been filled by immigrants. it has probably put more local natives out of work,negative,fill (container),3,FALSE,increase,an overwhelming number,there has been a large amount of immigrant labor coming to Addison.,No,Independent,,Male,,BornInUS,Born in the US - US Citizen,,,,,,,,English,1,5,,,,,,,,,,,,,USA,309224
11/7/20 15:36,11/7/20 15:40,IP Address,98.101.43.99,100,246,TRUE,11/7/20 15:40,R_3NFnPVLfLTttU2f,,,,,33.69880676,-78.91600037,anonymous,EN,I agree to participate,invasion,Alot of cheap labor is available.  Probably most of them are claiming welfare and draining the area of their resourses. ,negative,drain,1,FALSE,increase,taking over,In the last three years the city has been taken over with immigrants destroying the town and decreasing property values. ,No,Republican,,Female,,BornInUS,Born in the US - US Citizen,,,,,,,,English,1,5,,,,,,,,,,,,,USA,808682
11/21/20 15:30,11/21/20 15:31,IP Address,172.58.159.205,100,100,TRUE,11/21/20 15:31,R_5i1uPLRQdNyZqUx,,,,,35.229599,-80.84300232,anonymous,EN,I agree to participate,invasion,Cheap labor has come in. It has taken away local jobs and probably drive wages down.,negative,,2,FALSE,Increase,High influx,The last three years Addison has seen a huge ride in immigrant labor.,No,Democrat,,Female,,BornInUS,Born in the US - US Citizen,,,,,,,,English,0,5,,,,,,,,,,,,,USA,571333
11/7/20 16:02,11/7/20 16:12,IP Address,134.202.32.129,100,596,TRUE,11/7/20 16:12,R_rpyVWpkMjI2yTSN,,,,,41.84829712,-87.65170288,anonymous,EN,I agree to participate,flood,Flood has led to the change of economy. If there is flood everything is very bad,negative,,4,FALSE,cant remember,Flood is overflow of water in a particular area,There has been a flood of immigrant labor in the town of  Addison in the past three years,No,Democrat,,Female,,BornInUS,Born in the US - US Citizen,,,,,,,,English,0,5,,,,,,,,,,,,,"USA, Nigeria",734767
11/21/20 15:35,11/21/20 15:39,IP Address,107.12.154.128,100,232,TRUE,11/21/20 15:39,R_20UQ4JDAZsKTHnO,,,,,34.7769928,-77.37689972,anonymous,EN,I agree to participate,invasion,Having the number increase from 12 to 40 thousand immigrants in one area most likely causes an influx of people and not enough places for them. Taking space away from those who citizens.,negative,influx,4,FALSE,increase,takeover,"In the last three years, there has been a takeover of immigrant labor in the town of Addison.",No,Republican,,Female,,BornInUS,Born in the US - US Citizen,,,,,,,,English,1,5,,,,,,,,,,,,,United States and Korea,294607
11/7/20 15:38,11/7/20 15:48,IP Address,131.106.229.20,100,605,TRUE,11/7/20 15:48,R_3FOSrPrWJRnGc3G,,,,,40.69859314,-75.48339844,anonymous,EN,I agree to participate,invasion,I believe if these people are illegal immigrants than it effects our economy in job loss for americans in that community and also legal immigrants. Benefits that are given to illegals take away from the needy there that are actually americans. We will be spending more money to support them and their children and will also be harder to find jobs as they will take some of the jobs away.,negative,,1,FALSE,increase,a lot of immigrants taking jobs,In the last 3 years there has been an large increase of labor by immigrants in the town of Addison,No,Republican,,Female,,BornInUS,Born in the US - US Citizen,,,,,,,,English,0,5,,,,,,,,,,,,,usa,658470
11/21/20 16:26,11/21/20 16:29,IP Address,69.247.36.175,100,186,TRUE,11/21/20 16:29,R_1hVULA7CuoZe9BI,,,,,26.62919617,-81.96800232,anonymous,EN,I agree to participate,invasion,I believe this has had a negative effect on the economy. Immigration is something I should be taken serious and they shouldn't be treated an nonhumans.,negative,,2,FALSE,increase,unwelcome intrusion,There has been an increase of immagrant labor in the town of Addison in the last three years,No,Democrat,,Female,,BornInUS,Born in the US - US Citizen,,,,,,,,English,1,5,,,,,,,,,,,,,USA,411498
11/7/20 16:00,11/7/20 16:03,IP Address,69.174.185.104,100,191,TRUE,11/7/20 16:03,R_3IPE9KVwnFFHHqB,,,,,42.64019775,-85.29730225,anonymous,EN,I agree to participate,flood,I think it has had a negative effect. The immigrants are taking jobs from the native people and putting other businesses out of business.,negative,,2,FALSE,increase,An increase in the amount of.,"In the last three years, immigrant labor has increased exponentially in Addison.",No,Republican,,Male,,BornInUS,Born in the US - US Citizen,,,,,,,,English,1,5,,,,,,,,,,,,,USA,800313
11/21/20 15:39,11/21/20 15:42,IP Address,172.242.91.119,100,204,TRUE,11/21/20 15:42,R_e58XDXl5jdwoFRn,,,,,37.29829407,-83.19120026,anonymous,EN,I agree to participate,boost,I think that it has taken jobs and opportunities from local people. I think it's unfair that such an influx of immigrants are able to overtake a town in this way.,negative,,1,FALSE,influx,surge,There has been a surge of immigrants to the town of Addison during the past three years.,No,Republican,,Female,,BornInUS,Born in the US - US Citizen,,,,,,,,English,1,5,,,,,,,,,,,,,USA,859193
11/7/20 15:46,11/7/20 15:50,IP Address,70.109.130.151,100,230,TRUE,11/7/20 15:50,R_3lG2FALBUiv7fg2,,,,,42.83560181,-71.09339905,anonymous,EN,I agree to participate,boost,I think that more locals have lost their jobs. They probably had to look for their jobs elsewhere.,negative,,4,FALSE,increase,a rise or influx,The town of Addison has had an influx of immigrant workers join labor force over the past three years.,No,Republican,,Male,,BornInUS,Born in the US - US Citizen,,,,,,,,English,1,5,,,,,,,,,,,,,USA,539752
11/7/20 16:12,11/7/20 16:16,IP Address,76.176.187.179,100,226,TRUE,11/7/20 16:16,R_2Rb3612RW92pa40,,,,,33.10620117,-117.2947006,anonymous,EN,I agree to participate,flood,I think that the local economy has stagnated a bit as less work is able to be done. With a lot of the work being given over to immigrants there is less money being being generated into the economy.,negative,,6,FALSE,influx,Many many people all at once,The town of Addison has seen a rapid increase in immigrant labor over the past three years.,No,Democrat,,Male,,BornInUS,Born in the US - US Citizen,,,,,,,,English,0,5,,,,,,,,,,,,,United States,233013
11/21/20 15:36,11/21/20 15:45,IP Address,172.56.42.196,100,565,TRUE,11/21/20 15:45,R_3CBObsJx7bAY7wa,,,,,47.53640747,-122.2779999,anonymous,EN,I agree to participate,invasion,"I think that there are fewer jobs available for people without adequate education or training. I imagine that in some ways the local economy has grown, but there are a lot of people who are affected by this influx. The city is probably getting more tax revenue. The effect may vary depending on how large this town is.",negative,influx,5,FALSE,influx,An invasion is a rapid increase in aggressive foreign people.,The amount of immigrant labor in the town of Addison has risen sharply in the last three years.,No,Democrat,,Male,,BornInUS,Born in the US - US Citizen,,,,,,,,English,1,5,Japanese,27,1,,,,,,,,,,"United States, Canada.",676832
11/21/20 15:58,11/21/20 16:13,IP Address,172.115.175.154,100,900,TRUE,11/21/20 16:13,R_26xr8ocLGfSz97P,,,,,33.92999268,-117.9477005,anonymous,EN,I agree to participate,invasion,"I think that these immigrants were needed to do some of the manual labor and so they have increased the output of the farms, however such a rapid increase probably means that the immigrants do not have enough work unless they ask lower wages than locals and so locals are put out of work.",negative,,3,FALSE,increase,A large influx,Lately there has been a great increase of foreign labor coming to Addison.,No,Democrat,,Female,,Other,Green Card holder,,,,,,,,English,0,5,dutch,26,2,french,11,1,,,,,,,"England, Wales, The Netherlands, USA",760855
11/7/20 15:48,11/7/20 15:51,IP Address,104.156.127.125,100,207,TRUE,11/7/20 15:51,R_DTvBBgj3RWP3t9T,,,,,37.19110107,-82.65129852,anonymous,EN,I agree to participate,flood,"I think the area probably had a structure in place regarding business and living. Immigrants were able to be successful in accessible labor and got ahead a bit. This success from a low-level labor starved area likely drove the economy there a little more, which propelled more growth of immigrant labor.",negative,,4,FALSE,increase,rapid increase,"Over the last three years, immigrants have increasingly found and kept work in the town of Addison.",No,Independent,,Male,,BornInUS,Born in the US - US Citizen,,,,,,,,English,3,5,,,,,,,,,,,,,United States,600481
11/21/20 16:55,11/21/20 17:04,IP Address,107.207.207.189,100,529,TRUE,11/21/20 17:04,R_1ri6aYP6PaV0hfM,,,,,41.0092926,-80.6190033,anonymous,EN,I agree to participate,invasion,I think they may be taking away jobs that Americans could do.,negative,,6,FALSE,increase,A intrusion on someone else's domain.,"In the last three years, there has been an large increase of immigrant labor in the town of Addison.",No,Democrat,,Female,,BornInUS,Born in the US - US Citizen,,,,,,,,English,2,5,,,,,,,,,,,,,United States,623984
11/7/20 15:33,11/7/20 15:36,IP Address,98.167.171.31,100,223,TRUE,11/7/20 15:36,R_12ljGhtFZTAzZZi,,,,,33.56129456,-112.1442032,anonymous,EN,I agree to participate,invasion,I think this has had a negative effect. The immigrants should try to fix there home before they go somewhere else.,negative,,2,FALSE,growth,The spread of something hurtful.,People flock to Addison due to worsening conditions in their home country.,No,Republican,,Male,,BornInUS,Born in the US - US Citizen,,,,,,,,English,3,Fluent,,,,,,,,,,,,,USA,128858
11/21/20 15:47,11/21/20 15:52,IP Address,97.127.163.162,100,311,TRUE,11/21/20 15:52,R_2bKwAR0o6tAz1PY,,,,,40.51069641,-77.43099976,anonymous,EN,I agree to participate,invasion,"I think this would negatively impact the economy. They probably work for very little, and may be on welfare, food stamps, which is all going to take up a lot of tax dollars. the work they do for less ultimately still comes out of Americans pockets in increased taxes and spending and less money spent on American Citizens.",negative,,2,FALSE,an increase,"it has negative connotations. it means they have descended onto the town, most likely unwanted.","Over the last 3 years, there has been an mass influx of immigrant workers in the town of Addison",No,Republican,,Female,,BornInUS,Born in the US - US Citizen,,,,,,,,English,birth,5,,,,,,,,,,,,,USA,738249
11/7/20 15:33,11/7/20 15:37,IP Address,47.35.194.33,100,211,TRUE,11/7/20 15:37,R_2uX14QZAICrIkDv,,,,,35.04600525,-81.98100281,anonymous,EN,I agree to participate,invasion,"I would imagine with an immigrant population that has almost quadrupled in four years, it is taking jobs away from citizens. Locals probably need more assistance in meeting their expenses.",negative,,2,FALSE,increase,an unwanted group forcefully moves to an occupied area,"In the last three years, more immigrants than are welcome have come to the town of Addison. ",No,Independent,,Female,,BornInUS,Born in the US - US Citizen,,,,,,,,English,infancy,5,,,,,,,,,,,,,USA,384418
11/21/20 15:55,11/21/20 16:02,IP Address,73.135.196.243,100,423,TRUE,11/21/20 16:02,R_3ncoSRIS20m9wG4,,,,,39.15890503,-75.58779907,anonymous,EN,I agree to participate,boost,"I would say that native agricultural jobs have seen an uptake in competition. It seems that these immigrants are taking up a lot of jibs in working class sectors, and Addison's community has probably noticed the effects a bit. I would imagine employers are taking advantage of this change. ",negative,,3,FALSE,increase,"increase, or additional. ","Recently there has been an increase of immigrants working in the town of Addison, the past three years. ",No,Republican,,Male,,BornInUS,Born in the US - US Citizen,,,,,,,,English,1,5,Spanish,5,2,French,14,3,,,,,,,Just the U.S.A,498466
10/21/20 15:12,10/21/20 15:34,IP Address,209.161.89.26,100,1302,TRUE,10/21/20 15:34,R_9QWuUMJCOCMb7ZD,,,,,37.75100708,-97.8219986,anonymous,EN,I agree to participate,invasion,if people will go for immigrant that will affect our local economy because of people only all our government will survey and if people are moving to some other place then their is no use of running shops and malls and theater etc,negative,,4,FALSE,28000,Invasion means going from one place into another ,In the Addsion immigrant labors are increased in last three years,No,Republican,,Female,,Other,Green Card holder,,,,,,,,English,1,5,Spanish,15,4,Chinese ,13,3,Arabic ,18,4,Korean,16,5,united states of america,456408
11/21/20 16:46,11/21/20 16:50,IP Address,73.180.41.72,100,262,TRUE,11/21/20 16:50,R_aW8RFJQyfWAZvcR,,,,,45.48049927,-122.6362991,anonymous,EN,I agree to participate,flood,Immigrants are taking more jobs away from locals in addison. It is not bad or good for the economy. ,negative,,5,FALSE,increase,large increase,"In the last three years, there has been an increased amount of immigrant labor in the town of Addison.",No,Independent,,Female,,BornInUS,Born in the US - US Citizen,,,,,,,,English,1,5,,,,,,,,,,,,,usa,753497
10/21/20 15:18,10/21/20 15:29,IP Address,71.71.214.201,100,616,TRUE,10/21/20 15:29,R_ekTrI25Q5AYEVu9,,,,,35.22270203,-80.79380035,anonymous,EN,I agree to participate,increase,Immigrants from various countries who works here are the major cause of the adverse effect and change in the local economy as they works and earns here and send those money to their country. This should be stopped to avoid further fall in the economy.,negative,,1,FALSE,number,More number of/ many,"Over the last three years, there has been an increase of immigrant labor in the town of Addison.",No,Republican,,Male,,BornInUS,Born in the US - US Citizen,,,,,,,,English,0,5,,,,,,,,,,,,,United States.,510859
11/7/20 16:11,11/7/20 16:16,IP Address,73.61.12.79,100,300,TRUE,11/7/20 16:16,R_1rdn8CWZy4cU6eX,,,,,42.36340332,-71.07129669,anonymous,EN,I agree to participate,invasion,"Immigrants work for less. They also come here illegally and we cant say no unless we find them and turn them away, this taking jobs from locals.",negative,,4,FALSE,increase,Coming without being welcome ,Immigrants have been coming here for the last three years even though they are not welcomed.,No,Independent,,Female,,BornInUS,Born in the US - US Citizen,,,,,,,,English,,,,,,,,,,,,,,,USA,670764
11/21/20 15:44,11/21/20 15:50,IP Address,24.187.99.65,100,368,TRUE,11/21/20 15:50,R_1jTF2g4oIymCeoC,,,,,40.8105011,-73.04160309,anonymous,EN,I agree to participate,invasion,In my opinion the effect has most likely been a reduction in wages. When you flood a market with cheap labor wages will mostlikely go down ,negative,flood,3,FALSE,increase,an unwanted increase,In the last three years immigrant labor in Addison has grown exponentially.,No,Democrat,,Male,,BornInUS,Born in the US - US Citizen,,,,,,,,English,1,5,,,,,,,,,,,,,USA,335234
10/21/20 15:15,10/21/20 15:19,IP Address,66.243.215.12,100,246,TRUE,10/21/20 15:19,R_3ReXKEfcRlputzq,,,,,46.92100525,-122.5937958,anonymous,EN,I agree to participate,flood,It appears that a lot of jobs have been taken by the immigrants. Those jobs could have gone to Americans looking for work. The number of immigrants has grown quite a bit.,negative,,3,FALSE,increase,A flood in this case means a whole lot.,The town of Addison has been inundated with immigrants in the last three years.,No,Independent,,Female,,BornInUS,Born in the US - US Citizen,,,,,,,,English,1,5,,,,,,,,,,,,,"USA, Germany",985700
11/21/20 15:25,11/21/20 15:30,IP Address,73.91.206.91,100,315,TRUE,11/21/20 15:30,R_2CJOZ4UVWY3gqaa,,,,,35.25180054,-90.02469635,anonymous,EN,I agree to participate,invasion,it been not so good,negative,,8,FALSE,large,moving in,"In the last three years, there has been an invasion of immigrant labor in the town of Addison.",No,Independent,,Male,,BornInUS,Born in the US - US Citizen,,,,,,,,English,english,english,,,,,,,,,,,,,usa,521791
11/7/20 16:07,11/7/20 16:10,IP Address,97.99.75.40,100,190,TRUE,11/7/20 16:10,R_VJ9nSx1KGUt34K5,,,,,32.97200012,-96.79139709,anonymous,EN,I agree to participate,invasion,It has affect people with low social status ,negative,,7,FALSE,increase,Coming to a place,In the last three years there has been a lot of immigrant labor in Addison ,No,Democrat,,Male,,BornInUS,Born in the US - US Citizen,,,,,,,,English,0,5,,,,,,,,,,,,,USA,522957
11/21/20 15:27,11/21/20 15:34,IP Address,108.17.30.249,100,368,TRUE,11/21/20 15:34,R_eWnRPejOimzKuit,,,,,42.73680115,-78.83580017,anonymous,EN,I agree to participate,invasion,It has increased crime and therefore cost more in law enforcement costs.  It was also a drain on the benefits because they illegals are taking things that are meant for legal citizens. ,negative,drain,2,FALSE,plague,People came in without being asked. ,"In the last 3 years, there has been a plague of illegals in the town of Addison which is a threat to the constitution and the sovereignty of our great nation.  ",No,Republican,,Male,,BornInUS,Born in the US - US Citizen,,,,,,,,English,1,5,,,,,,,,,,,,,USA ,967733
10/21/20 15:10,10/21/20 15:11,IP Address,68.9.87.234,100,81,TRUE,10/21/20 15:11,R_1NFAQtNo25Jbskj,,,,,41.88600159,-71.34570313,anonymous,EN,I agree to participate,flood,it has made it much more harder. also a whole lot more schemes out there ,negative,,7,FALSE,50,water,there was a flood in Addison about 3 years ago,No,Independent,,Female,,BornInUS,Born in the US - US Citizen,,,,,,,,English,4,5,,,,,,,,,,,,,USA,496311
11/7/20 15:32,11/7/20 15:36,IP Address,68.9.87.234,100,220,TRUE,11/7/20 15:36,R_AuJlGuqGZD7hjVf,,,,,41.88600159,-71.34570313,anonymous,EN,I agree to participate,boost,it has made it much worse in the long run. Something like that should be considered in a much different fashion,negative,,6,FALSE,increase,increase,over the last three years there was a boost of immigrants in the town addison,No,Independent,,Male,,BornInUS,Born in the US - US Citizen,,,,,,,,English,5,5,,,,,,,,,,,,,USA,743880
11/21/20 15:27,11/21/20 15:30,IP Address,159.250.48.144,100,176,TRUE,11/21/20 15:30,R_31mSoc7FiniFx0L,,,,,40.06869507,-79.7677002,anonymous,EN,I agree to participate,flood,"it is good if it is legal immigration but it is an invasion if it is illegal immigration. just like illegal booze and drugs, the feds want their cut. someone has to pay for services.",negative,invasion,5,FALSE,increase,inundation,a lot of foreigners now live in Addison who weren't there three years ago.,No,Independent,,Male,,BornInUS,Born in the US - US Citizen,,,,,,,,English,0,5,,,,,,,,,,,,,us. greece. uk.,466404
11/21/20 15:38,11/21/20 15:44,IP Address,63.75.255.16,100,324,TRUE,11/21/20 15:44,R_2e9BmIKNXFcFama,,,,,42.58360291,-83.49890137,anonymous,EN,I agree to participate,flood,its a economic issues.,negative,,7,FALSE,peoples,A flood is an overflow of water onto land that is normally dry. Floods can happen almost anywhere.,"In the last three years, there has been a flood of immigrant labor in the town of Addison",No,Democrat,,Male,,BornInUS,Born in the US - US Citizen,,,,,,,,English,1,5,,,,,,,,,,,,,usa,316593
11/7/20 16:07,11/7/20 16:09,IP Address,24.21.10.209,100,140,TRUE,11/7/20 16:09,R_3sn2qokYkMkyqMV,,,,,45.5375061,-122.5988998,anonymous,EN,I agree to participate,invasion,Less money for locals because they hold less jobs in certain sectors. More money being made my immigrants.,negative,,1,FALSE,influx,to invade or take over,"In the last three years, there has been an large increase of immigrant labor in the town of Addison.",No,Independent,,Female,,Other,Parents came to the US as immigrants,,,,,,,,English,1,5,,,,,,,,,,,,,usa,852325
11/7/20 16:13,11/7/20 16:19,IP Address,73.121.1.84,100,391,TRUE,11/7/20 16:19,R_1JKQVIcD8oTfYNP,,,,,36.25669861,-83.19139862,anonymous,EN,I agree to participate,invasion,Less work for other residents but good for free enterprise. More options for buyers and employers.,negative,,6,FALSE,increase,Unstopped growth,Immigrants are an increasingly large part of workforce in Addison.,No,Republican,,Female,,BornInUS,Born in the US - US Citizen,,,,,,,,English,1,5,,,,,,,,,,,,,USA,649866
11/21/20 16:54,11/21/20 17:00,IP Address,67.50.50.164,100,339,TRUE,11/21/20 17:00,R_1DI5oMVGbSUEeRi,,,,,41.16850281,-112.0361023,anonymous,EN,I agree to participate,flood,Loss of jobs for the unskilled laborer's who lived there before the influx of other people.  Lowering of wages for everyone.  Loss of benefits to people such as health care and job rights.,negative,influx,9,FALSE,influx,"a great wave of water that destroys things or in this case, a great amount of immigrant labor.","""In the last three years, there has been a tsunami of immigrant labor in the town of Addison.",No,Independent,,Female,,BornInUS,Born in the US - US Citizen,Grandparents came to the US as immigrants,,,,,,,English,1,4,,,,,,,,,,,,,USA only.,526874
10/21/20 15:12,10/21/20 15:15,IP Address,107.134.81.242,100,177,TRUE,10/21/20 15:15,R_1kGHNffDm6svfj6,,,,,41.56790161,-87.53800201,anonymous,EN,I agree to participate,invasion,More job were created. But they were being taken by the immigrants. ,negative,,7,FALSE,increase,coming in without being wanted,For the past 3 years Addison has been invaded by immigrants. ,No,Republican,,Male,,BornInUS,Born in the US - US Citizen,,,,,,,,English,1,5,,,,,,,,,,,,,USA,456185
11/7/20 15:56,11/7/20 16:01,IP Address,73.220.56.241,100,283,TRUE,11/7/20 16:01,R_2tCYWnjQK6Kzwuc,,,,,36.79429626,-119.8856049,anonymous,EN,I agree to participate,invasion,"Supply and demand.  The supply of immigrant labor has driven down wages for lower educated workers.  If they are here legally, that is fine.  If they are here illegally, they should be deported.  People need to respect the law.  The benefit of immigrant labor is that it creates a more diverse population.  We also need younger workers to pay into Social Security to help keep the system afloat.  ",negative,,6,FALSE,increase,Illegal unwanted entry,In the past three years there has been an a large increase of immigrant labor in the town of Addison.,No,Republican,,Male,,BornInUS,Born in the US - US Citizen,,,,,,,,English,1,5,,,,,,,,,,,,,USA,502336
11/21/20 15:48,11/21/20 15:51,IP Address,107.77.234.66,100,209,TRUE,11/21/20 15:51,R_2aCD8GVQfn8Pead,,,,,33.74850464,-84.38710022,anonymous,EN,I agree to participate,flood,That they are taking our jobs from us.,negative,,10,FALSE,increase,An abundance,There has been a lot of immigrant labor in Addison in the past 3 years.,No,Republican,,Female,,BornInUS,Born in the US - US Citizen,,,,,,,,English,0,5,,,,,,,,,,,,,USA,591233
11/7/20 15:41,11/7/20 15:47,IP Address,107.77.234.150,100,345,TRUE,11/7/20 15:47,R_2QgQeAYjnRCKR4B,,,,,33.74850464,-84.38710022,anonymous,EN,I agree to participate,invasion,The change on the local economy has been more immigrants. The immigrants have been taking over everything.,negative,take over,1,FALSE,collection,unwelcome ,In the last three years there have been a abundance of immigrants working in Addison.,No,Republican,,Female,,BornInUS,Born in the US - US Citizen,,,,,,,,English,0,5,,,,,,,,,,,,,USA,349601
11/7/20 16:07,11/7/20 16:12,IP Address,97.102.137.184,100,298,TRUE,11/7/20 16:12,R_27Pgi1WxKL3033W,,,,,29.15660095,-81.02680206,anonymous,EN,I agree to participate,flood,the economy is great for the imigrants but everyone else will be jobless soon,negative,,1,FALSE,increase,a sworm of imagrants that have overcome the locals,theres been a huge increase in immigrant labor in Addison the last 3 yrs,No,Independent,,Male,,BornInUS,Born in the US - US Citizen,,,,,,,,English,1,5,,,,,,,,,,,,,usa,705335
