ResponseId,LocationLatitude,LocationLongitude,condition,openQ,valence,metaphor,likert,covertness,attention,association,paraphrase,politicalView,gender,immigration,language#1_1_1,Q36,textblob_polarity,negative,neutral,positive,roberta_sentiment,positive_z,likert_z,paraphrase_negative,paraphrase_neutral,paraphrase_positive,paraphrase_sentiment,paraphrase_similarity,paraphrase_similarity_groups
R_3CBObsJx7bAY7wa,47.53640747,-122.2779999,invasion,"I think that there are fewer jobs available for people without adequate education or training. I imagine that in some ways the local economy has grown, but there are a lot of people who are affected by this influx. The city is probably getting more tax revenue. The effect may vary depending on how large this town is.",negative,influx,5,False,influx,An invasion is a rapid increase in aggressive foreign people.,The amount of immigrant labor in the town of Addison has risen sharply in the last three years.,Democrat,Male,BornInUS,English,"United States, Canada.",0.2895238095238095,0.25086498,0.55855393,0.1905811,neutral,-1.280055,-1.0546052347677806,0.24496461,0.67692405,0.078111395,neutral,0.77788204,low
R_DTvBBgj3RWP3t9T,37.19110107,-82.65129852,flood,"I think the area probably had a structure in place regarding business and living. Immigrants were able to be successful in accessible labor and got ahead a bit. This success from a low-level labor starved area likely drove the economy there a little more, which propelled more growth of immigrant labor.",negative,,4,False,increase,rapid increase,"Over the last three years, immigrants have increasingly found and kept work in the town of Addison.",Independent,Male,BornInUS,English,United States,0.3421875,0.009075222,0.2567699,0.7341549,positive,0.27753663,-1.4723415771950363,0.030901229,0.8869691,0.08212959,neutral,0.8300839,medium
R_1ri6aYP6PaV0hfM,41.0092926,-80.6190033,invasion,I think they may be taking away jobs that Americans could do.,negative,,6,False,increase,A intrusion on someone else's domain.,"In the last three years, there has been an large increase of immigrant labor in the town of Addison.",Democrat,Female,BornInUS,English,United States,0.0,0.77475846,0.21698007,0.0082615,negative,-1.8024855,-0.6368688923405249,0.017775385,0.78923476,0.19298986,neutral,0.8341575,medium
R_12ljGhtFZTAzZZi,33.56129456,-112.1442032,invasion,I think this has had a negative effect. The immigrants should try to fix there home before they go somewhere else.,negative,,2,False,growth,The spread of something hurtful.,People flock to Addison due to worsening conditions in their home country.,Republican,Male,BornInUS,English,USA,-0.3,0.8238733,0.1671046,0.009022064,negative,-1.8003061,-2.307814262049548,0.76689774,0.2244152,0.008687006,negative,0.543099,low
R_2bKwAR0o6tAz1PY,40.51069641,-77.43099976,invasion,"I think this would negatively impact the economy. They probably work for very little, and may be on welfare, food stamps, which is all going to take up a lot of tax dollars. the work they do for less ultimately still comes out of Americans pockets in increased taxes and spending and less money spent on American Citizens.",negative,,2,False,an increase,"it has negative connotations. it means they have descended onto the town, most likely unwanted.","Over the last 3 years, there has been an mass influx of immigrant workers in the town of Addison",Republican,Female,BornInUS,English,USA,-0.1395833333333333,0.79730314,0.18537948,0.017317364,negative,-1.7765362,-2.307814262049548,0.17055185,0.782058,0.047390103,neutral,0.8775068,high
R_2uX14QZAICrIkDv,35.04600525,-81.98100281,invasion,"I would imagine with an immigrant population that has almost quadrupled in four years, it is taking jobs away from citizens. Locals probably need more assistance in meeting their expenses.",negative,,2,False,increase,an unwanted group forcefully moves to an occupied area,"In the last three years, more immigrants than are welcome have come to the town of Addison. ",Independent,Female,BornInUS,English,USA,0.5,0.6979165,0.27156317,0.030520288,negative,-1.7387037,-2.307814262049548,0.07735549,0.5416073,0.38103715,neutral,0.76687115,low
R_3ncoSRIS20m9wG4,39.15890503,-75.58779907,boost,"I would say that native agricultural jobs have seen an uptake in competition. It seems that these immigrants are taking up a lot of jibs in working class sectors, and Addison's community has probably noticed the effects a bit. I would imagine employers are taking advantage of this change. ",negative,,3,False,increase,"increase, or additional. ","Recently there has been an increase of immigrants working in the town of Addison, the past three years. ",Republican,Male,BornInUS,English,Just the U.S.A,0.0,0.35253343,0.54414475,0.103321895,neutral,-1.5300932,-1.890077919622292,0.102116324,0.80027264,0.09761112,neutral,0.8875853,high
R_aW8RFJQyfWAZvcR,45.48049927,-122.6362991,flood,Immigrants are taking more jobs away from locals in addison. It is not bad or good for the economy. ,negative,,5,False,increase,large increase,"In the last three years, there has been an increased amount of immigrant labor in the town of Addison.",Independent,Female,BornInUS,English,usa,0.5166666666666666,0.41212213,0.42531794,0.16255988,neutral,-1.3603489,-1.0546052347677806,0.05677774,0.8738898,0.069332406,neutral,0.84310895,high
R_ekTrI25Q5AYEVu9,35.22270203,-80.79380035,increase,Immigrants from various countries who works here are the major cause of the adverse effect and change in the local economy as they works and earns here and send those money to their country. This should be stopped to avoid further fall in the economy.,negative,,1,False,number,More number of/ many,"Over the last three years, there has been an increase of immigrant labor in the town of Addison.",Republican,Male,BornInUS,English,United States.,0.015625,0.6734062,0.30245844,0.024135383,negative,-1.7569994,-2.7255506044768034,0.034052413,0.8847312,0.081216425,neutral,0.8561686,high
R_1rdn8CWZy4cU6eX,42.36340332,-71.07129669,invasion,"Immigrants work for less. They also come here illegally and we cant say no unless we find them and turn them away, this taking jobs from locals.",negative,,4,False,increase,Coming without being welcome ,Immigrants have been coming here for the last three years even though they are not welcomed.,Independent,Female,BornInUS,English,USA,-0.3333333333333333,0.7639384,0.21802549,0.01803604,negative,-1.7744768,-1.4723415771950363,0.56108916,0.41262442,0.026286386,negative,0.43792957,low
R_1jTF2g4oIymCeoC,40.8105011,-73.04160309,invasion,In my opinion the effect has most likely been a reduction in wages. When you flood a market with cheap labor wages will mostlikely go down ,negative,flood,3,False,increase,an unwanted increase,In the last three years immigrant labor in Addison has grown exponentially.,Democrat,Male,BornInUS,English,USA,0.18611111111111112,0.52617496,0.436167,0.03765802,negative,-1.7182508,-1.890077919622292,0.011923172,0.34026846,0.6478084,positive,0.7657506,low
R_3ReXKEfcRlputzq,46.92100525,-122.5937958,flood,It appears that a lot of jobs have been taken by the immigrants. Those jobs could have gone to Americans looking for work. The number of immigrants has grown quite a bit.,negative,,3,False,increase,A flood in this case means a whole lot.,The town of Addison has been inundated with immigrants in the last three years.,Independent,Female,BornInUS,English,"USA, Germany",0.0,0.38217273,0.50873625,0.10909104,neutral,-1.513562,-1.890077919622292,0.4587494,0.48993614,0.05131444,neutral,0.69528705,low
R_2CJOZ4UVWY3gqaa,35.25180054,-90.02469635,invasion,it been not so good,negative,,8,False,large,moving in,"In the last three years, there has been an invasion of immigrant labor in the town of Addison.",Independent,Male,BornInUS,English,usa,0.7,0.9280059,0.06507064,0.0069235037,negative,-1.8063195,0.19860379251398658,0.6857905,0.30232206,0.011887489,negative,0.82649565,medium
R_VJ9nSx1KGUt34K5,32.97200012,-96.79139709,invasion,It has affect people with low social status ,negative,,7,False,increase,Coming to a place,In the last three years there has been a lot of immigrant labor in Addison ,Democrat,Male,BornInUS,English,USA,0.016666666666666666,0.6978591,0.28760839,0.0145324515,negative,-1.7845163,-0.21913254991326914,0.23077594,0.71012145,0.05910254,neutral,0.8552166,high
R_eWnRPejOimzKuit,42.73680115,-78.83580017,invasion,It has increased crime and therefore cost more in law enforcement costs.  It was also a drain on the benefits because they illegals are taking things that are meant for legal citizens. ,negative,drain,2,False,plague,People came in without being asked. ,"In the last 3 years, there has been a plague of illegals in the town of Addison which is a threat to the constitution and the sovereignty of our great nation.  ",Republican,Male,BornInUS,English,USA ,0.35,0.8664658,0.12464766,0.008886517,negative,-1.8006945,-2.307814262049548,0.92717046,0.06736036,0.005469205,negative,0.52043504,low
R_1NFAQtNo25Jbskj,41.88600159,-71.34570313,flood,it has made it much more harder. also a whole lot more schemes out there ,negative,,7,False,50,water,there was a flood in Addison about 3 years ago,Independent,Female,BornInUS,English,USA,0.275,0.8059181,0.17144036,0.022641478,negative,-1.7612802,-0.21913254991326914,0.18814929,0.7806552,0.03119546,neutral,0.42948404,low
R_AuJlGuqGZD7hjVf,41.88600159,-71.34570313,boost,it has made it much worse in the long run. Something like that should be considered in a much different fashion,negative,,6,False,increase,increase,over the last three years there was a boost of immigrants in the town addison,Independent,Male,BornInUS,English,USA,-0.15,0.9249572,0.070399925,0.004642871,negative,-1.8128546,-0.6368688923405249,0.017613461,0.81168795,0.17069864,neutral,0.8120927,medium
R_31mSoc7FiniFx0L,40.06869507,-79.7677002,flood,"it is good if it is legal immigration but it is an invasion if it is illegal immigration. just like illegal booze and drugs, the feds want their cut. someone has to pay for services.",negative,invasion,5,False,increase,inundation,a lot of foreigners now live in Addison who weren't there three years ago.,Independent,Male,BornInUS,English,us. greece. uk.,-0.025000000000000022,0.5537942,0.38749677,0.058708996,negative,-1.6579299,-1.0546052347677806,0.2980335,0.6451128,0.05685374,neutral,0.6627048,low
R_2e9BmIKNXFcFama,42.58360291,-83.49890137,flood,its a economic issues.,negative,,7,False,peoples,A flood is an overflow of water onto land that is normally dry. Floods can happen almost anywhere.,"In the last three years, there has been a flood of immigrant labor in the town of Addison",Democrat,Male,BornInUS,English,usa,0.2,0.4094948,0.5393442,0.051161006,neutral,-1.6795585,-0.21913254991326914,0.26538134,0.6849784,0.04964025,neutral,0.8353007,medium
R_1JKQVIcD8oTfYNP,36.25669861,-83.19139862,invasion,Less work for other residents but good for free enterprise. More options for buyers and employers.,negative,,6,False,increase,Unstopped growth,Immigrants are an increasingly large part of workforce in Addison.,Republican,Female,BornInUS,English,USA,0.26166666666666666,0.011704722,0.18836659,0.79992867,positive,0.4660091,-0.6368688923405249,0.036050133,0.77498585,0.18896402,neutral,0.8519888,high
R_1DI5oMVGbSUEeRi,41.16850281,-112.0361023,flood,Loss of jobs for the unskilled laborer's who lived there before the influx of other people.  Lowering of wages for everyone.  Loss of benefits to people such as health care and job rights.,negative,influx,9,False,influx,"a great wave of water that destroys things or in this case, a great amount of immigrant labor.","""In the last three years, there has been a tsunami of immigrant labor in the town of Addison.",Independent,Female,BornInUS,English,USA only.,-0.0625,0.6051751,0.35484275,0.039982162,negative,-1.7115911,0.6163401349412423,0.28237718,0.65875226,0.058870617,neutral,0.7246666,low
R_1kGHNffDm6svfj6,41.56790161,-87.53800201,invasion,More job were created. But they were being taken by the immigrants. ,negative,,7,False,increase,coming in without being wanted,For the past 3 years Addison has been invaded by immigrants. ,Republican,Male,BornInUS,English,USA,0.5,0.4192631,0.4933054,0.087431535,neutral,-1.5756265,-0.21913254991326914,0.80221355,0.18556349,0.012223001,negative,0.7121765,low
R_2tCYWnjQK6Kzwuc,36.79429626,-119.8856049,invasion,"Supply and demand.  The supply of immigrant labor has driven down wages for lower educated workers.  If they are here legally, that is fine.  If they are here illegally, they should be deported.  People need to respect the law.  The benefit of immigrant labor is that it creates a more diverse population.  We also need younger workers to pay into Social Security to help keep the system afloat.  ",negative,,6,False,increase,Illegal unwanted entry,In the past three years there has been an a large increase of immigrant labor in the town of Addison.,Republican,Male,BornInUS,English,USA,0.06180555555555556,0.37379,0.50428754,0.12192247,neutral,-1.4767939,-0.6368688923405249,0.02115433,0.79382056,0.18502516,neutral,0.83160377,medium
R_2aCD8GVQfn8Pead,33.74850464,-84.38710022,flood,That they are taking our jobs from us.,negative,,10,False,increase,An abundance,There has been a lot of immigrant labor in Addison in the past 3 years.,Republican,Female,BornInUS,English,USA,0.0,0.8490237,0.14500946,0.0059667835,negative,-1.8090609,1.034076477368498,0.21426629,0.72644496,0.059288673,neutral,0.86332035,high
R_2QgQeAYjnRCKR4B,33.74850464,-84.38710022,invasion,The change on the local economy has been more immigrants. The immigrants have been taking over everything.,negative,take over,1,False,collection,unwelcome ,In the last three years there have been a abundance of immigrants working in Addison.,Republican,Female,BornInUS,English,USA,0.25,0.6403704,0.3320809,0.027548654,negative,-1.7472187,-2.7255506044768034,0.12779498,0.7514021,0.120802894,neutral,0.8686049,high
R_27Pgi1WxKL3033W,29.15660095,-81.02680206,flood,the economy is great for the imigrants but everyone else will be jobless soon,negative,,1,False,increase,a sworm of imagrants that have overcome the locals,theres been a huge increase in immigrant labor in Addison the last 3 yrs,Independent,Male,BornInUS,English,usa,0.8,0.0978215,0.2710622,0.63111633,positive,-0.01771674,-2.7255506044768034,0.08126591,0.70493263,0.21380147,neutral,0.8176692,medium
R_33DR0VY3vntX8Yu,39.48150635,-86.06150055,boost,The effect has been an influx of workers for lower end jobs.  This would make the labor rate for these jobs much more competitive.,negative,influx,6,False,increase,higher,Immigration has increased in Addison during the previous three years.,Independent,Male,BornInUS,English,United States,0.5,0.03671552,0.49043018,0.47285438,neutral,-0.47121084,-0.6368688923405249,0.16978957,0.7753771,0.05483339,neutral,0.7406458,low
R_6nS2ahdFrhhWIi5,33.55459595,-81.72100067,invasion,The effect has been negative.  These people took jobs away from the locals.,negative,,3,False,increase,A sharp increase.,There has been a huge increase in immigrant labor over the last three years in Addison.,Independent,Male,BornInUS,English,United States ,-0.3,0.9363176,0.0597628,0.003919598,negative,-1.814927,-1.890077919622292,0.02911209,0.5868596,0.38402832,neutral,0.81666696,medium
R_1gIvTpdJKLrVQGP,36.17500305,-95.91600037,invasion,The effect has impacted job security. The effect has also increased stress for some people.,negative,,5,False,increase,Invasion refers to the intrusion of one group of people or person into another's private space.,"In the last three years, there has been an influx of immigrant works in the town of Addison, which many paranoid conservatives view as an invasion.",Independent,Female,BornInUS,English,USA,0.0,0.7299471,0.25228658,0.017766315,negative,-1.7752498,-1.0546052347677806,0.7172847,0.27120882,0.011506522,negative,0.7428645,low
R_3MN0pP3ppQnGNki,40.71569824,-74.0,flood,The effect of this change on the local economy is that there has been more competition due to the increase in the number of the the immigrants that flush in into the region of Addison and it had make the labor market more demand therefore ones will need to rebrand and package his or her products very well that is what i can say for and for the purpose of this research,negative,,8,False,it is had changed the dimension of the immigrant labor in the town of Addison also he immigrants do farm work in the surrounding agricultural communities had brought improvement to the agricultural products,From the point of view of this passage it means there are many immigrant that coming in into the town of Addison,From my own perspective it means there are many immigrant that coming in into the town of Addison and several people are in working and selling ,Democrat,Male,BornInUS,English,America ,0.215,0.081092596,0.76758194,0.15132543,neutral,-1.3925408,0.19860379251398658,0.04809981,0.8588021,0.09309817,neutral,0.6846709,low
R_1E6Ya8aB5WUlxWS,40.51800537,-74.84529877,flood,"The immigrants have likely put a strain on public services including schools.  The local economy has gotten less American in terms of businesses as the immigrants have opened restaurants and shops catering to their people.  Overall, the local economy has probably stayed somewhat depressed since the immigrants are mostly manual workers and therefore they have not brought high salaries or skill sets that demand premium salaries to the local area.",negative,strain,3,False,increase,A large inflow,The town of Addison has seen a large increase of immigrants in the last three years.,Republican,Male,BornInUS,English,Just the U.S.,0.04933333333333334,0.7540274,0.22659914,0.019373486,negative,-1.7706444,-1.890077919622292,0.033990677,0.811651,0.15435828,neutral,0.7860296,low
R_1dyuaCZPOfQOCVi,37.84790039,-81.99610138,increase,The job in Addison have largely been taken by migrant immigrants it stated as farmers and grew into many businesses ,negative,,1,False,surge,More workers ,Addison now has many more immigrant workers ,Republican,Female,BornInUS,English,Us,0.35714285714285715,0.015058948,0.7334505,0.25149062,neutral,-1.105521,-2.7255506044768034,0.036975488,0.712057,0.25096753,neutral,0.81789505,medium
R_1Nhldps90j3jMtR,42.72869873,-71.18340302,boost,The local economy has been transformed into a replica of the place where the immigrants came from. Some wealthy people likely made an extra buck exploiting the desperate.,negative,,1,False,influx,increase in something theoretically yielding desired outcomes.,The presense of immigrant laborers has increased dramatically in Addison in the past 3 years.,Independent,Male,BornInUS,English,USA,-0.019999999999999997,0.4002013,0.52158666,0.078212,neutral,-1.6020447,-2.7255506044768034,0.05458772,0.6916282,0.253784,neutral,0.7800498,low
R_b4brt8P0BkKM35f,41.7888031,-88.09159851,invasion,The local economy has suffer as a result. Jobs for American citizens are not there. As a result of immigrants working they likely send most if not all of the money they make to their own countries which does not help the USA.,negative,suffer,1,False,increase,a large group taking over,The town of Addison has been overcome with immigrants in the last few years.,Republican,Female,BornInUS,English,usa,0.22000000000000003,0.8396578,0.14689478,0.013447329,negative,-1.7876256,-2.7255506044768034,0.045406997,0.7383129,0.21628012,neutral,0.7890419,low
R_3M5znTYhtK4HcJE,40.83250427,-75.70140076,flood,"The local economy is probably better, but there is no place for regular people now. The local area has been invaded, and the invaders have occupied and conquered it. It is no longer the place it once was, and whites who live there will be forced to leave, if they haven't already. ",negative,"invade, invader, occupy, conquer",1,False,increase,"a big wave that drowns and washes away all that once was, and leaves nothing but ruin in its wake","In the last three years, immigrants have invaded and conquered the town of Addison.",Republican,Female,BornInUS,English,"Mostly America but over the past 6 years up until covid I have spent 6 months of each year in Yekaterinburg, Russia. My husband is a Russian native. I am seriously considering applying for citizenship. America is dying, and will be a third world, mud-people country within two decades at most.",0.056060606060606054,0.7524691,0.22256212,0.024968714,negative,-1.7546115,-2.7255506044768034,0.47289604,0.50353426,0.023569653,neutral,0.6879191,low
R_vltwidCsZcPzWvL,26.43479919,-81.81099701,invasion,"The town of Addison has seen exponential growth in immigrants between 2016 and 2020. They started out in agriculture and then moved into other areas of employment including cleaning, store clerks and even opening small businesses. This might impact the area regarding fewer jobs for citizens who already lived there or, may benefit the town by adding new services.",negative,,5,False,increase,Too many or too much.,There has been too many immigrants taking over jobs in the town of Addison over the last three years. ,Independent,Female,BornInUS,English,USA ,-0.07954545454545454,0.011317339,0.37795925,0.6107234,positive,-0.076152034,-1.0546052347677806,0.76887953,0.21380626,0.017314207,negative,0.8024213,medium
R_1IbJ2vef2ykvEh6,42.72869873,-71.18340302,invasion,"The wage scale has been driven lower. Anyone in the lower wage brackets, labor, is feeling economic pain due to increased competition and a push lower in wages.",negative,,2,False,increase,Unwelcome influx,Over the past few years immigrant labor has flooded the town of Addison,Republican,Female,BornInUS,English,US,0.037500000000000006,0.77466494,0.21274887,0.012586216,negative,-1.7900931,-2.307814262049548,0.42567694,0.5386106,0.035712495,neutral,0.7900622,low
R_patMqF7wUnKXdNT,42.37019348,-83.10839844,invasion,There are far fewer entry-level positions.  The economy itself has more cash flow though.  The gross production of Addison has increased l.,negative,,7,False,increase,an entrance of a group of people into a new area and which the people already there do not welcome the new people ,The last three years has seen a large increase in the labor provided by immigrants in Addison.,Democrat,Female,BornInUS,English,United States ,0.19999999999999998,0.037109695,0.45942268,0.5034677,positive,-0.3834895,-0.21913254991326914,0.00918791,0.62341344,0.36739865,neutral,0.75475526,low
R_3CK1RutOhSXsOJE,39.98280334,-75.82389832,boost,There are far more immigrants in town. They are competing for jobs with the regular residents.,negative,,4,False,increase,increase,Immigrant labor in Addison has risen in the last 3 years.,Republican,Female,BornInUS,English,United States ,0.19999999999999998,0.49339545,0.45468828,0.05191634,negative,-1.677394,-1.4723415771950363,0.13368095,0.77575964,0.09055936,neutral,0.7913141,low
R_1hAPQMwW8rHuaw8,34.07290649,-118.2606049,boost,"There are now more people out of a job. There are those looking for a new start, students and unqualified for other professions that would be happy to work in those jobs.",negative,,2,False,increase,This means to raise up a level or increase.,Recently there has been more immigrant labor in Addison.,Republican,Male,BornInUS,English,USA,0.3278409090909091,0.1295413,0.5914206,0.27903816,neutral,-1.0265844,-2.307814262049548,0.118711025,0.8325204,0.04876854,neutral,0.8575026,high
R_31sg0dfkPYPg6dG,36.67550659,-93.84480286,boost,"There are probably less jobs in the local economy for citizens. There are also more democratic politicians probably being elected in the county, maybe could probably change it from red to blue.",negative,,2,False,increase,Increase,The last three years there has been an increase of immigrant labor in the town of Addison.,Republican,Male,BornInUS,English,United States of America,0.06666666666666668,0.06735757,0.47423595,0.45840654,neutral,-0.5126106,-2.307814262049548,0.028003067,0.8696103,0.102386616,neutral,0.8320719,medium
R_2P6E9REwcM7Vlps,45.44070435,-122.7792053,invasion,There has been an explosion in the number that has arrived to the town. It could have a burden on housing and other services from the rapid influx of people.,negative,"explosion, burden, influx",3,False,increase,an unwanted movement of people into foreign land,"In a short period of time, there has been a huge influx of immigrants into Addison.",Democrat,Male,BornInUS,English,USA,-0.125,0.44510075,0.48202705,0.072872184,neutral,-1.6173459,-1.890077919622292,0.26960424,0.63352144,0.09687434,neutral,0.8260399,medium
R_3nMfixtjy9nBdGq,33.86039734,-117.7545013,flood,There has been an overall negative effect on the economy. This effect will have a long term impact.,negative,,2,False,increase,A large body of unwanted things,There has been a flood of people coming into Addison.,Democrat,Male,BornInUS,English,USA,-0.11666666666666665,0.80178636,0.18529993,0.012913713,negative,-1.7891548,-2.307814262049548,0.22064894,0.709061,0.070290074,neutral,0.5809924,low
R_1jiAWtHFmopVetF,42.63510132,-71.30139923,invasion,There has probably been in an increase in competition for manual labor and service jobs. There has probably also been more demand for housing. This effect has most likely driven wages higher,negative,,6,False,influx,An unwanted intrusion ,"In the last three years, there has been an influx of immigrant labor in the town of Addison",Independent,Male,BornInUS,English,USA,0.3125,0.04625885,0.7006387,0.25310245,neutral,-1.1009023,-0.6368688923405249,0.087545276,0.8637278,0.04872693,neutral,0.8633214,high
R_PFogR9nfT4Copnr,33.49169922,-111.9837036,invasion,There have been less jobs. There has also been more spending though.,negative,,6,False,influx,Uninvited intrusion into ones territoy,"In the last three years imperialism, and colonization have forced refugees from the global south to seek aid and shelter in western countries.",Democrat,Male,BornInUS,English,USA,0.16666666666666669,0.4930248,0.45689034,0.050084826,negative,-1.6826422,-0.6368688923405249,0.66337746,0.32728848,0.009334036,negative,0.16852757,low
R_4Ypdrahij5s8Fhf,41.43440247,-81.63729858,invasion,There is a surge in immigrants taking jobs.,negative,surge,4,False,increase,Taking over,In the last three years there has been an increase in immigrant workers in Addison.,Democrat,Female,BornInUS,English,United states ,0.0,0.46399322,0.4911753,0.044831526,neutral,-1.6976954,-1.4723415771950363,0.018077131,0.80563056,0.17629224,neutral,0.834761,medium
R_1jNR8QVPnW8F56Z,33.45320129,-112.0747986,boost,There's an increase in foreign cuisine restaurants available. The local economic state would have to pay more welfare benefits for some immigrants. ,negative,,2,False,increase,Increasing substantially so.,The town of Addison has experienced massive increases of immigrant labor in the last three years. ,Republican,Female,BornInUS,English,United States ,0.195,0.07909962,0.6892237,0.23167671,neutral,-1.162297,-2.307814262049548,0.04964791,0.6856758,0.26467627,neutral,0.80379903,medium
